quiz id,ruler height,ruler width,question id,image 1 id,image 2 id,image_chosen
77,-1,-1,132,3,7,2
77,-1,-1,121,2,3,2
77,-1,-1,141,5,1,2
77,-1,-1,144,5,4,1
77,-1,-1,168,8,7,2
77,-1,-1,150,6,3,1
77,-1,-1,116,1,5,1
77,-1,-1,147,5,8,1
77,-1,-1,140,4,8,1
77,-1,-1,167,8,6,2
77,-1,-1,115,1,4,1
77,-1,-1,122,2,4,2
77,-1,-1,129,3,4,2
77,-1,-1,130,3,5,2
77,-1,-1,133,3,8,1
77,-1,-1,146,5,7,2
77,-1,-1,149,6,2,1
77,-1,-1,166,8,5,2
77,-1,-1,123,2,5,2
77,-1,-1,135,4,2,1
77,-1,-1,128,3,2,1
77,-1,-1,113,1,2,1
77,-1,-1,151,6,4,1
77,-1,-1,118,1,7,1
77,-1,-1,134,4,1,2
77,-1,-1,137,4,5,2
77,-1,-1,145,5,6,1
77,-1,-1,125,2,7,2
77,-1,-1,161,7,8,1
77,-1,-1,139,4,7,2
77,-1,-1,148,6,1,2
77,-1,-1,136,4,3,1
77,-1,-1,157,7,3,1
77,-1,-1,131,3,6,2
77,-1,-1,120,2,1,2
77,-1,-1,126,2,8,2
77,-1,-1,114,1,3,1
77,-1,-1,154,6,8,1
77,-1,-1,117,1,6,1
77,-1,-1,138,4,6,1
77,-1,-1,142,5,2,1
77,-1,-1,165,8,4,2
77,-1,-1,152,6,5,2
77,-1,-1,153,6,7,2
77,-1,-1,160,7,6,1
77,-1,-1,162,8,1,2
77,-1,-1,127,3,1,2
77,-1,-1,143,5,3,1
77,-1,-1,158,7,4,1
77,-1,-1,163,8,2,1
77,-1,-1,164,8,3,1
77,-1,-1,124,2,6,2
77,-1,-1,156,7,2,1
77,-1,-1,159,7,5,1
77,-1,-1,119,1,8,1
77,-1,-1,155,7,1,1
78,-1,-1,154,6,8,1
78,-1,-1,159,7,5,1
78,-1,-1,120,2,1,2
78,-1,-1,134,4,1,2
78,-1,-1,167,8,6,2
78,-1,-1,113,1,2,1
78,-1,-1,125,2,7,2
78,-1,-1,118,1,7,1
78,-1,-1,135,4,2,1
78,-1,-1,146,5,7,2
78,-1,-1,131,3,6,2
78,-1,-1,144,5,4,1
78,-1,-1,143,5,3,1
78,-1,-1,151,6,4,1
78,-1,-1,129,3,4,2
78,-1,-1,137,4,5,2
78,-1,-1,119,1,8,1
78,-1,-1,140,4,8,1
78,-1,-1,121,2,3,1
78,-1,-1,128,3,2,1
78,-1,-1,142,5,2,1
78,-1,-1,145,5,6,1
78,-1,-1,162,8,1,2
78,-1,-1,130,3,5,2
78,-1,-1,116,1,5,1
78,-1,-1,157,7,3,1
78,-1,-1,165,8,4,2
78,-1,-1,127,3,1,2
78,-1,-1,158,7,4,1
78,-1,-1,123,2,5,2
78,-1,-1,117,1,6,1
78,-1,-1,122,2,4,2
78,-1,-1,152,6,5,2
78,-1,-1,136,4,3,1
78,-1,-1,150,6,3,1
78,-1,-1,114,1,3,1
78,-1,-1,148,6,1,2
78,-1,-1,153,6,7,2
78,-1,-1,161,7,8,1
78,-1,-1,133,3,8,2
78,-1,-1,138,4,6,1
78,-1,-1,164,8,3,2
78,-1,-1,160,7,6,1
78,-1,-1,163,8,2,2
78,-1,-1,168,8,7,2
78,-1,-1,147,5,8,1
78,-1,-1,115,1,4,1
78,-1,-1,141,5,1,1
78,-1,-1,156,7,2,1
78,-1,-1,166,8,5,2
78,-1,-1,132,3,7,2
78,-1,-1,124,2,6,2
78,-1,-1,139,4,7,2
78,-1,-1,149,6,2,1
78,-1,-1,126,2,8,2
78,-1,-1,155,7,1,2
84,-1,-1,128,3,2,1
84,-1,-1,145,5,6,1
84,-1,-1,121,2,3,2
84,-1,-1,165,8,4,2
84,-1,-1,153,6,7,2
84,-1,-1,150,6,3,1
84,-1,-1,135,4,2,1
84,-1,-1,160,7,6,1
84,-1,-1,119,1,8,1
84,-1,-1,118,1,7,1
84,-1,-1,141,5,1,2
84,-1,-1,155,7,1,2
84,-1,-1,126,2,8,2
84,-1,-1,159,7,5,1
84,-1,-1,120,2,1,2
84,-1,-1,132,3,7,2
84,-1,-1,152,6,5,2
84,-1,-1,122,2,4,2
84,-1,-1,168,8,7,2
84,-1,-1,136,4,3,1
84,-1,-1,167,8,6,2
84,-1,-1,143,5,3,1
84,-1,-1,156,7,2,1
84,-1,-1,154,6,8,1
84,-1,-1,133,3,8,1
84,-1,-1,151,6,4,1
84,-1,-1,166,8,5,2
84,-1,-1,130,3,5,2
84,-1,-1,146,5,7,2
84,-1,-1,137,4,5,2
84,-1,-1,123,2,5,2
84,-1,-1,114,1,3,1
84,-1,-1,149,6,2,1
84,-1,-1,147,5,8,1
84,-1,-1,140,4,8,1
84,-1,-1,138,4,6,2
84,-1,-1,116,1,5,1
84,-1,-1,127,3,1,2
84,-1,-1,134,4,1,2
84,-1,-1,148,6,1,2
84,-1,-1,113,1,2,1
84,-1,-1,139,4,7,2
84,-1,-1,158,7,4,1
84,-1,-1,142,5,2,1
84,-1,-1,125,2,7,2
84,-1,-1,157,7,3,1
84,-1,-1,117,1,6,1
84,-1,-1,161,7,8,1
84,-1,-1,144,5,4,1
84,-1,-1,162,8,1,2
84,-1,-1,124,2,6,2
84,-1,-1,115,1,4,1
84,-1,-1,129,3,4,2
84,-1,-1,163,8,2,1
84,-1,-1,164,8,3,1
84,-1,-1,131,3,6,2
88,-1,-1,124,2,6,2
88,-1,-1,145,5,6,1
88,-1,-1,131,3,6,2
88,-1,-1,142,5,2,1
88,-1,-1,140,4,8,1
88,-1,-1,129,3,4,2
88,-1,-1,165,8,4,2
88,-1,-1,139,4,7,2
88,-1,-1,156,7,2,1
88,-1,-1,125,2,7,2
88,-1,-1,147,5,8,1
88,-1,-1,138,4,6,1
88,-1,-1,135,4,2,1
88,-1,-1,113,1,2,1
88,-1,-1,157,7,3,1
88,-1,-1,137,4,5,2
88,-1,-1,128,3,2,2
88,-1,-1,154,6,8,1
88,-1,-1,121,2,3,1
88,-1,-1,119,1,8,1
88,-1,-1,168,8,7,2
88,-1,-1,117,1,6,1
88,-1,-1,166,8,5,2
88,-1,-1,144,5,4,1
88,-1,-1,116,1,5,1
88,-1,-1,148,6,1,2
88,-1,-1,130,3,5,2
88,-1,-1,134,4,1,2
88,-1,-1,152,6,5,2
88,-1,-1,127,3,1,2
88,-1,-1,123,2,5,2
88,-1,-1,149,6,2,1
88,-1,-1,120,2,1,2
88,-1,-1,160,7,6,1
88,-1,-1,143,5,3,1
88,-1,-1,118,1,7,1
88,-1,-1,167,8,6,2
88,-1,-1,164,8,3,2
88,-1,-1,122,2,4,1
88,-1,-1,114,1,3,1
88,-1,-1,133,3,8,2
88,-1,-1,132,3,7,2
88,-1,-1,161,7,8,1
88,-1,-1,126,2,8,1
88,-1,-1,136,4,3,1
88,-1,-1,162,8,1,2
88,-1,-1,141,5,1,1
88,-1,-1,155,7,1,1
88,-1,-1,163,8,2,1
88,-1,-1,146,5,7,1
88,-1,-1,151,6,4,1
88,-1,-1,159,7,5,1
88,-1,-1,115,1,4,1
88,-1,-1,158,7,4,1
88,-1,-1,150,6,3,1
88,-1,-1,153,6,7,2
91,-1,-1,162,8,1,1
91,-1,-1,138,4,6,2
91,-1,-1,150,6,3,1
91,-1,-1,119,1,8,2
91,-1,-1,122,2,4,2
91,-1,-1,123,2,5,1
91,-1,-1,121,2,3,2
91,-1,-1,114,1,3,1
91,-1,-1,147,5,8,2
91,-1,-1,124,2,6,1
91,-1,-1,132,3,7,2
91,-1,-1,167,8,6,2
91,-1,-1,151,6,4,2
91,-1,-1,157,7,3,2
